Cow#,Short Name,Calved,Lact#,Age (mths),Milk PI,Protein PI,Fat PI,Milk,Fat Kg,Fat %,Protein Kg,Protein %,SCC,Cow#_1,DIM,LTD Milk,LTD Protein Kg,LTD Protein %,LTD Fat Kg,LTD Fat %,Tests,Peak SCC,Peak SCC Date,Influence
1139,1139,09/03/2017,6,134,109,107,113,22,0.99,4.49,0.77,3.49,67,1139,217,6130,209,3.41,294,4.8,8,266,14/03/2017,
1143,1143,14/07/2017,8,126,96,91,94,25,1.05,4.19,0.73,2.9,24,1143,90,2679,89,3.32,108,4.03,4,315,18/07/2017,
1151,1151,14/07/2017,5,102,87,94,92,24,1.2,5,0.8,3.35,20,1151,90,2287,88,3.85,102,4.46,4,78,18/07/2017,
1153,1153,31/07/2016,4,91,108,103,107,12,0.71,5.93,0.57,4.73,99,1153,438,10374,373,3.6,483,4.66,15,309,09/11/2016,
1154,1154,30/07/2016,4,90,112,106,116,19,0.86,4.52,0.74,3.89,138,1154,439,10956,373,3.4,489,4.46,15,459,07/12/2016,
1156,1156,24/07/2016,3,78,95,101,109,12,0.81,6.75,0.62,5.14,74,1156,445,9372,367,3.92,504,5.38,15,211,18/07/2017,
1157,1157,27/02/2015,2,61,85,80,74,12,0.55,4.61,0.42,3.5,136,1157,958,18578,608,3.27,797,4.29,29,304,02/03/2015,
1159,1159,02/07/2017,4,90,102,95,110,27,1.35,4.99,0.81,2.99,33,1159,102,3153,102,3.24,154,4.88,4,75,18/07/2017,
1161,1161,24/07/2016,3,78,120,114,111,9,0.47,5.17,0.39,4.37,225,1161,445,10662,373,3.5,457,4.29,15,308,18/07/2017,
1162,1162,13/02/2017,3,73,98,96,96,24,1.13,4.7,0.85,3.56,30,1162,241,6092,215,3.53,275,4.51,9,30,12/10/2017,
1164,1164,27/01/2017,3,72,90,90,97,19,1.12,5.87,0.78,4.11,83,1164,258,5776,200,3.46,279,4.83,9,194,15/08/2017,
1165,1165,09/02/2017,3,60,95,91,101,19,1.05,5.5,0.67,3.55,180,1165,245,5984,198,3.31,288,4.81,9,346,14/02/2017,
1167,1167,12/02/2017,3,73,98,98,103,17,1.01,5.92,0.71,4.17,73,1167,242,6001,209,3.48,280,4.67,9,111,14/02/2017,
1168,1168,03/02/2017,3,61,75,77,77,18,1.01,5.6,0.68,3.76,69,1168,251,4886,171,3.5,228,4.67,9,3081,14/02/2017,
1169,1169,25/01/2017,2,60,89,86,97,19,1.07,5.62,0.7,3.69,73,1169,260,6032,202,3.35,295,4.89,9,87,14/03/2017,
1172,1172,01/02/2017,2,61,92,92,79,21,0.88,4.21,0.79,3.78,66,1172,253,5792,201,3.47,229,3.95,8,70,14/03/2017,
1173,1173,29/07/2016,2,54,93,97,99,13,0.81,6.21,0.6,4.58,87,1173,440,9026,339,3.76,447,4.95,15,182,18/07/2017,
1174,1174,31/01/2017,3,61,73,78,84,18,1.09,6.08,0.75,4.14,40,1174,254,4663,173,3.71,236,5.06,9,52,12/09/2017,
1175,1175,21/07/2017,2,54,85,81,77,23,0.98,4.27,0.67,2.93,29,1175,83,2122,64,3.02,64,3.02,3,29,12/10/2017,
1176,1176,08/08/2016,1,43,79,77,83,14,0.81,5.82,0.59,4.18,75,1176,430,7926,282,3.56,388,4.9,15,340,14/02/2017,
1177,1177,16/08/2016,1,25,119,115,128,15,0.92,6.12,0.64,4.26,45,1177,422,8800,304,3.45,428,4.86,14,103,11/10/2016,
1178,1178,04/09/2016,1,38,94,98,102,10,0.66,6.61,0.51,5.06,195,1178,403,7742,293,3.78,403,5.21,14,802,08/09/2016,
1179,1179,07/10/2016,2,47,75,79,89,12,0.78,6.46,0.52,4.33,141,1179,370,6225,235,3.78,339,5.45,13,523,11/10/2016,
1180,1180,13/08/2017,1,43,,,,33,1.18,3.59,0.93,2.82,359,1180,60,1692,52,3.07,66,3.9,3,359,12/10/2017,
2204,2204,01/08/2017,10,188,83,82,80,22,0.91,4.15,0.69,3.14,52,2204,72,1872,59,3.15,70,3.74,3,52,12/10/2017,
2671,2671,09/02/2017,8,151,97,84,92,21,1.06,5.05,0.72,3.41,64,2671,245,5946,181,3.04,260,4.37,9,5304,18/07/2017,
2697,ERICA,19/03/2017,9,153,112,95,107,24,1.15,4.78,0.74,3.09,92,2697,207,6100,176,2.89,265,4.34,7,1152,16/05/2017,
2736,2736,10/08/2017,8,152,90,92,93,24,1.11,4.64,0.71,2.94,19,2736,63,1774,63,3.55,73,4.11,3,1422,12/09/2017,
2764,2764,29/01/2017,8,143,108,97,93,26,1.01,3.89,0.89,3.41,77,2764,256,6962,214,3.07,269,3.86,9,77,12/10/2017,
2787,2787,28/07/2016,7,137,104,94,118,17,0.96,5.66,0.61,3.61,390,2787,441,10024,325,3.24,499,4.98,15,489,07/12/2016,
2806,2806,11/07/2016,7,136,109,102,111,17,1.06,6.21,0.72,4.22,136,2806,458,11126,381,3.42,522,4.69,16,908,16/08/2016,
2833,2833,07/08/2017,9,148,109,99,98,33,1.19,3.6,0.87,2.65,97,2833,66,2228,71,3.19,87,3.9,3,493,15/08/2017,
2853,2853,05/02/2017,8,140,119,98,117,26,1.23,4.72,0.87,3.34,46,2853,249,7485,214,2.86,324,4.33,9,82,14/02/2017,
2906,2906,21/02/2017,8,138,105,100,123,20,0.82,4.1,0.7,3.5,225,2906,233,6300,207,3.29,336,5.33,8,225,12/10/2017,
2921,2921,10/02/2017,7,138,96,88,112,19,0.98,5.16,0.65,3.4,33,2921,244,5954,189,3.17,315,5.29,9,113,14/03/2017,
2944,2944,04/08/2017,9,141,107,101,87,27,0.97,3.59,0.78,2.89,213,2944,69,2477,79,3.19,79,3.19,3,213,12/10/2017,
2967,2967,25/02/2017,8,132,97,92,103,24,1.25,5.2,0.83,3.47,91,2967,229,5692,185,3.25,277,4.87,8,1043,12/09/2017,
2970,2970,05/02/2017,8,132,118,105,120,20,0.99,4.94,0.72,3.58,226,2970,249,7052,218,3.09,332,4.71,9,239,18/07/2017,
2984,2984,10/03/2017,7,133,125,105,114,25,1.09,4.36,0.78,3.11,69,2984,216,6862,201,2.93,284,4.14,8,105,15/08/2017,
3017,3017,05/08/2017,6,137,107,98,103,30,1.29,4.31,0.84,2.79,13,3017,68,2330,73,3.13,93,3.99,3,31,15/08/2017,
3061,3061,04/03/2017,7,131,111,107,114,24,1.29,5.36,0.79,3.29,51,3061,222,6355,211,3.32,301,4.74,8,82,16/06/2017,
3075,3075,16/07/2017,8,134,114,100,116,31,1.54,4.97,0.89,2.86,42,3075,88,2860,87,3.04,125,4.37,4,1074,18/07/2017,
3076,3076,25/01/2017,7,129,89,90,92,19,1.08,5.69,0.72,3.78,46,3076,260,5808,199,3.43,271,4.67,9,67,14/03/2017,
3103,3103,23/01/2017,7,126,87,91,88,16,0.75,4.68,0.72,4.47,356,3103,262,5690,203,3.57,257,4.52,9,356,12/10/2017,
3134,3134,06/08/2017,7,129,109,102,107,30,1.29,4.29,0.88,2.93,11,3134,67,2364,76,3.21,98,4.15,3,526,15/08/2017,
3150,3150,22/07/2016,5,113,119,114,119,24,1.45,6.06,1.03,4.31,384,3150,447,11921,426,3.57,562,4.71,15,384,12/10/2017,
3184,3184,03/07/2017,6,124,100,93,92,23,1,4.33,0.66,2.86,97,3184,101,3240,103,3.18,127,3.92,4,97,12/10/2017,
3246,3246,29/07/2017,5,121,100,97,98,26,1.24,4.78,0.78,3,31,3246,75,2447,79,3.23,101,4.13,3,41,15/08/2017,
3260,3260,24/02/2017,5,121,118,102,90,23,0.99,4.32,0.72,3.15,2100,3260,230,7051,210,2.98,244,3.46,8,2100,12/10/2017,
3262,3262,17/08/2016,4,109,110,96,113,14,0.69,4.9,0.53,3.8,62,3262,421,10150,323,3.18,459,4.52,14,818,18/01/2017,
3275,3275,17/02/2016,5,103,109,107,120,13,0.8,6.16,0.57,4.39,103,3275,603,12828,477,3.72,680,5.3,20,225,15/08/2017,
3338,3338,20/02/2017,6,114,70,75,84,16,0.99,6.2,0.59,3.7,117,3338,234,4304,159,3.69,231,5.37,8,117,12/10/2017,
3343,3343,07/02/2017,6,114,101,88,110,20,1.04,5.19,0.66,3.32,140,3343,247,6494,196,3.02,317,4.88,9,646,14/02/2017,
3346,3346,10/07/2017,6,119,127,114,109,29,1.04,3.6,1.04,3.6,8,3346,94,3879,116,2.99,145,3.74,4,55,18/07/2017,
3369,3369,31/07/2017,6,116,114,100,102,35,1.24,3.53,0.93,2.65,12,3369,73,2555,77,3.01,98,3.84,3,371,15/08/2017,
3383,3383,31/07/2017,6,115,114,108,106,32,1.49,4.67,0.94,2.94,214,3383,73,2684,89,3.32,101,3.76,3,2001,15/08/2017,
3387,3387,05/03/2017,6,110,96,97,97,22,1.13,5.13,0.81,3.68,54,3387,221,5494,192,3.49,258,4.7,8,123,14/03/2017,
3395,3395,22/02/2017,5,108,98,95,105,20,0.99,4.96,0.77,3.83,63,3395,232,5902,196,3.32,289,4.9,8,85,12/09/2017,
3404,3404,10/07/2017,5,113,82,85,101,24,1.85,7.71,0.75,3.12,19,3404,94,2255,81,3.59,111,4.92,4,43,18/07/2017,
3405,3405,09/03/2017,5,109,108,99,110,17,0.9,5.27,0.55,3.24,74,3405,217,5965,186,3.12,276,4.63,8,148,14/03/2017,
3406,3406,13/07/2016,5,101,90,90,91,11,0.65,5.87,0.55,5.02,140,3406,456,9522,356,3.74,435,4.57,16,140,12/10/2017,
3408,3408,12/02/2017,6,108,101,91,87,20,0.64,3.2,0.72,3.58,324,3408,242,6086,190,3.12,232,3.81,9,324,12/10/2017,
3422,3422,02/07/2016,4,100,116,101,107,13,0.66,5.07,0.54,4.12,361,3422,467,11497,374,3.25,483,4.2,16,361,12/10/2017,
3424,3424,26/01/2017,5,107,88,84,97,18,0.85,4.71,0.68,3.75,240,3424,259,5670,184,3.25,276,4.87,9,420,14/02/2017,
3425,3425,31/01/2017,4,107,112,105,116,21,0.9,4.3,0.74,3.54,141,3425,254,7227,234,3.24,325,4.5,9,356,14/02/2017,
3427,3427,08/08/2017,5,113,103,94,97,31,1.33,4.29,0.85,2.73,14,3427,65,2087,65,3.11,78,3.74,3,50,15/08/2017,
3447,3447,13/02/2017,5,107,93,84,90,20,1.09,5.44,0.72,3.6,95,3447,241,5494,171,3.11,241,4.39,9,164,14/03/2017,
3455,3455,16/08/2017,5,113,103,97,125,31,2.1,6.77,0.87,2.8,24,3455,57,1977,63,3.19,88,4.45,2,24,12/10/2017,
3474,3474,01/07/2017,5,109,105,94,107,25,1.23,4.9,0.73,2.9,79,3474,103,3425,104,3.04,150,4.38,4,103,18/07/2017,
3480,3480,04/08/2017,5,110,115,107,109,30,1.3,4.34,0.74,2.47,38,3480,69,2651,90,3.39,104,3.92,3,42,15/08/2017,
3485,3485,27/02/2017,5,104,113,93,89,21,0.7,3.33,0.58,2.75,174,3485,227,6766,191,2.82,245,3.62,8,528,14/03/2017,
3489,3489,10/07/2016,5,97,97,91,85,12,0.55,4.6,0.49,4.12,275,3489,459,10119,350,3.46,422,4.17,16,275,12/10/2017,
3495,3495,07/02/2017,5,103,92,92,101,18,1.01,5.6,0.68,3.77,293,3495,247,5874,199,3.39,287,4.89,9,1879,14/02/2017,
3496,3496,27/07/2017,6,109,100,97,108,29,1.72,5.92,0.87,3,21,3496,77,2374,78,3.29,109,4.59,3,37,15/08/2017,
3506,3506,16/07/2016,5,96,128,119,112,23,1.12,4.89,0.88,3.81,42,3506,453,12732,434,3.41,527,4.14,16,505,21/07/2016,
3512,3512,25/08/2016,5,98,107,94,89,12,0.53,4.43,0.45,3.74,162,3512,413,9590,305,3.18,368,3.84,14,3028,07/04/2017,
3519,3519,11/02/2017,4,103,107,96,111,21,1.12,5.35,0.75,3.55,136,3519,243,6583,206,3.13,322,4.89,9,947,14/02/2017,
3525,3525,10/07/2016,4,96,107,101,102,24,1.16,4.85,0.93,3.86,117,3525,459,11392,390,3.42,502,4.41,16,117,12/10/2017,
3532,3532,28/02/2017,5,103,102,111,116,23,1.15,5.02,0.92,4.02,86,3532,226,6006,222,3.7,310,5.16,8,739,16/06/2017,
3558,3558,09/02/2017,5,102,87,83,106,19,0.91,4.77,0.7,3.7,176,3558,245,5404,180,3.33,294,5.44,9,176,12/10/2017,
3566,3566,13/07/2016,5,95,101,109,109,11,0.71,6.49,0.53,4.82,111,3566,456,9559,386,4.04,499,5.22,16,111,12/10/2017,
3575,3575,14/07/2016,5,95,113,112,110,14,0.6,4.31,0.51,3.61,111,3575,455,10663,368,3.45,469,4.4,16,204,16/06/2017,
3582,3582,09/03/2017,5,103,112,106,106,23,1.06,4.62,0.78,3.39,92,3582,217,6286,206,3.28,271,4.31,8,267,14/03/2017,
3588,3588,20/07/2016,5,92,116,107,118,15,0.73,4.88,0.59,3.95,178,3588,449,10966,382,3.48,492,4.49,16,229,16/06/2017,
3590,3590,16/07/2016,5,92,122,124,138,15,0.72,4.8,0.62,4.12,84,3590,453,11410,417,3.65,571,5,16,114,21/07/2016,
3626,3626,28/03/2017,5,100,120,114,113,24,1.08,4.5,0.81,3.39,73,3626,198,6348,206,3.25,276,4.35,7,778,16/05/2017,
3628,3628,13/07/2017,4,103,97,92,108,26,1.3,4.99,0.76,2.93,48,3628,91,2671,86,3.22,132,4.94,4,105,18/07/2017,
3654,3654,29/08/2017,5,102,127,113,110,43,1.7,3.96,1.26,2.94,12,3654,44,1776,56,3.15,60,3.38,2,13,12/09/2017,
3658,3658,02/02/2017,5,95,101,93,103,18,0.76,4.23,0.72,4,62,3658,252,6262,199,3.18,291,4.65,9,6300,12/09/2017,
3661,3661,02/09/2017,5,102,121,106,129,41,2.32,5.66,1.09,2.65,21,3661,40,1490,48,3.22,68,4.56,2,29,12/09/2017,
3663,3663,09/08/2017,5,101,101,99,104,30,1.35,4.49,0.85,2.82,10,3663,64,2014,70,3.48,88,4.37,3,69,15/08/2017,
3673,3673,03/07/2017,5,100,119,106,111,26,1.11,4.27,0.77,2.96,186,3673,101,3944,120,3.04,163,4.13,4,269,15/08/2017,
3677,3677,15/08/2016,4,89,143,117,113,18,0.76,4.2,0.64,3.57,105,3677,423,13373,415,3.1,489,3.66,15,105,12/10/2017,
3685,3685,10/07/2016,5,88,92,98,107,9,0.56,6.27,0.45,4.96,176,3685,459,9120,356,3.9,504,5.53,16,176,12/10/2017,
3689,3689,03/07/2016,5,87,110,106,117,8,0.48,6.01,0.46,5.73,589,3689,466,10558,377,3.57,527,4.99,16,589,12/10/2017,
3690,3690,28/07/2016,4,88,112,102,94,17,0.79,4.66,0.64,3.77,83,3690,441,11098,361,3.25,433,3.9,14,278,16/05/2017,
3692,3692,29/06/2016,4,87,104,103,112,14,0.71,5.09,0.55,3.93,178,3692,470,10482,373,3.56,511,4.88,16,197,18/07/2017,
3697,3697,27/02/2017,5,95,99,98,104,24,1.23,5.12,0.91,3.81,171,3697,227,5916,201,3.4,282,4.77,8,3413,18/07/2017,
3699,3699,09/03/2016,4,83,126,109,120,15,0.83,5.56,0.63,4.17,137,3699,582,14584,475,3.26,668,4.58,19,367,16/05/2017,
3701,3701,17/02/2017,4,95,96,88,95,16,0.78,4.89,0.57,3.56,94,3701,237,5896,186,3.15,265,4.49,8,590,15/08/2017,
3702,3702,26/07/2016,4,88,96,90,85,15,0.74,4.96,0.66,4.4,317,3702,443,9573,323,3.37,376,3.93,15,624,14/03/2017,
3703,3703,07/07/2016,4,87,103,99,106,10,0.65,6.45,0.5,5,249,3703,462,10614,382,3.6,527,4.97,16,249,12/10/2017,
3704,3704,06/03/2017,5,95,92,94,106,22,1.02,4.64,0.77,3.52,67,3704,220,5166,183,3.54,280,5.42,8,94,14/03/2017,
3707,3707,03/08/2017,5,100,109,98,98,37,1.44,3.89,1.02,2.77,57,3707,70,2208,70,3.17,85,3.85,3,57,12/10/2017,
3709,3709,02/08/2017,4,99,95,95,90,27,1.22,4.5,0.9,3.33,35,3709,71,2093,70,3.34,81,3.87,3,98,15/08/2017,
3710,3710,30/06/2016,4,86,99,95,99,14,0.83,5.93,0.62,4.4,189,3710,469,10089,357,3.54,480,4.76,16,189,12/10/2017,
3712,3712,07/07/2017,5,98,105,106,99,27,1.14,4.24,0.88,3.26,283,3712,97,3164,111,3.51,127,4.01,4,489,18/07/2017,
3714,3714,27/01/2017,5,93,99,105,108,21,1.17,5.59,0.88,4.2,96,3714,258,6320,231,3.66,314,4.97,9,493,16/06/2017,
3715,3715,23/07/2016,4,86,114,113,117,8,0.4,5.03,0.35,4.41,393,3715,446,10382,368,3.54,477,4.59,15,393,12/10/2017,
3716,3716,05/03/2017,4,93,99,94,101,21,1.1,5.22,0.73,3.46,86,3716,221,5700,187,3.28,269,4.72,8,117,12/09/2017,
3720,3720,04/02/2017,4,92,95,96,108,20,1.15,5.74,0.8,3.99,52,3720,250,5842,207,3.54,312,5.34,9,52,12/10/2017,
3723,3723,24/01/2017,4,91,101,88,85,21,0.83,3.95,0.74,3.51,32,3723,261,6623,197,2.97,250,3.77,9,37,18/07/2017,
3730,3730,20/01/2017,5,91,95,90,98,21,1.25,5.93,0.81,3.85,53,3730,265,6184,200,3.23,285,4.61,9,652,16/06/2017,
3736,3736,25/07/2017,5,97,118,99,119,29,1.24,4.27,0.73,2.52,15,3736,79,3245,91,2.8,144,4.44,3,29,12/09/2017,
3737,3737,14/02/2017,4,91,99,85,85,22,0.87,3.97,0.66,3.01,19,3737,240,6107,181,2.96,241,3.95,8,26,15/08/2017,
3739,3739,26/07/2017,5,97,104,101,98,29,1.57,5.42,0.93,3.19,18,3739,78,2591,84,3.24,92,3.55,3,56,15/08/2017,
3744,3744,23/07/2016,4,85,130,126,115,13,0.67,5.17,0.58,4.46,68,3744,446,12446,445,3.58,504,4.05,15,89,18/01/2017,
3745,3745,24/08/2016,4,86,81,71,82,8,0.43,5.33,0.3,3.72,169,3745,414,7043,221,3.14,321,4.56,14,942,07/12/2016,
3749,3749,16/07/2017,4,96,92,91,102,25,1.2,4.81,0.75,3,25,3749,88,2268,77,3.4,103,4.54,4,239,18/07/2017,
3750,3750,18/07/2017,4,96,118,100,120,36,1.66,4.61,0.94,2.6,16,3750,86,2947,86,2.92,133,4.51,3,1870,15/08/2017,
3753,3753,29/07/2016,4,85,104,100,101,14,0.83,5.92,0.62,4.43,160,3753,440,10304,368,3.57,471,4.57,15,4809,08/09/2016,
3755,3755,17/07/2016,4,84,110,104,107,13,0.67,5.13,0.55,4.25,147,3755,452,10702,369,3.45,485,4.53,16,152,16/05/2017,
3761,3761,09/02/2017,4,91,91,88,109,20,1.31,6.55,0.74,3.72,64,3761,245,5546,187,3.37,300,5.41,9,351,14/02/2017,
3763,3763,16/07/2017,6,96,98,93,96,25,1.11,4.44,0.76,3.05,13,3763,88,2495,80,3.21,95,3.81,4,57,18/07/2017,
3764,3764,09/08/2017,5,97,111,112,89,34,1.35,3.96,1.09,3.21,23,3764,64,2201,80,3.63,68,3.09,3,106,15/08/2017,
3768,3768,17/03/2016,3,80,105,116,129,6,0.36,5.96,0.31,5.12,798,3768,574,12438,503,4.04,723,5.81,19,798,12/10/2017,
3770,3770,31/08/2016,4,85,103,98,108,19,1.05,5.52,0.78,4.08,160,3770,407,9477,326,3.44,449,4.74,14,160,12/10/2017,
3772,3772,16/08/2016,4,85,102,98,121,19,1.02,5.37,0.78,4.12,142,3772,422,9786,334,3.41,513,5.24,14,2035,07/04/2017,
3774,3774,21/07/2017,5,96,106,105,104,33,1.58,4.8,1.09,3.31,28,3774,83,2583,88,3.41,109,4.22,3,28,12/10/2017,
3775,3775,09/07/2016,4,84,107,94,108,15,0.71,4.73,0.54,3.59,105,3775,460,10657,336,3.15,463,4.34,16,625,16/06/2017,
3784,3784,07/02/2017,4,91,94,97,106,17,1.01,5.93,0.68,4.01,33,3784,247,5885,210,3.57,312,5.3,9,145,14/02/2017,
3788,3788,02/08/2015,3,72,115,102,106,36,1.43,3.98,0.94,2.62,11,3788,802,18420,609,3.31,749,4.07,22,207,04/08/2015,
3793,3793,13/02/2017,4,91,58,61,74,20,1.1,5.5,0.78,3.9,111,3793,241,3576,128,3.58,206,5.76,9,285,16/05/2017,
3796,3796,02/02/2017,4,90,94,101,112,4,0.41,10.27,0.29,7.36,3357,3796,252,5986,222,3.71,321,5.36,9,3357,12/10/2017,
3809,3809,16/08/2017,5,97,117,108,113,37,1.62,4.37,1.08,2.92,8,3809,57,2403,73,3.04,82,3.41,2,8,12/10/2017,
3813,3813,21/02/2017,4,91,89,87,78,22,1.08,4.91,0.79,3.58,189,3813,233,5286,179,3.39,212,4.01,8,189,12/10/2017,
3815,3815,03/03/2017,4,91,89,85,99,21,1.04,4.93,0.74,3.5,30,3815,223,5148,171,3.32,265,5.15,8,31,07/04/2017,
3820,3820,10/02/2017,4,90,100,102,100,23,1.14,4.94,0.86,3.75,30,3820,244,5998,213,3.55,272,4.53,9,124,14/02/2017,
3821,3821,10/07/2016,4,83,103,109,124,19,1.3,6.82,0.87,4.56,48,3821,459,10875,424,3.9,603,5.54,16,612,16/08/2016,
3823,3823,05/08/2016,4,84,101,98,103,13,0.58,4.45,0.53,4.11,217,3823,433,9868,346,3.51,438,4.44,15,353,07/04/2017,
3826,3826,10/07/2016,4,83,116,111,106,18,0.75,4.14,0.68,3.77,110,3826,459,11784,395,3.35,478,4.06,16,1088,14/03/2017,
3827,3827,25/08/2016,4,84,105,100,109,8,0.45,5.62,0.4,5.06,622,3827,413,9772,337,3.45,462,4.73,14,622,12/10/2017,
3834,3834,17/07/2016,4,83,109,103,106,19,0.91,4.8,0.78,4.08,118,3834,452,10840,382,3.52,487,4.49,16,144,21/07/2016,
3840,3840,08/07/2016,4,83,96,91,109,8,0.47,5.84,0.42,5.21,444,3840,461,9948,343,3.45,505,5.08,16,444,12/10/2017,
3849,3849,29/01/2017,4,89,101,103,109,23,1.24,5.37,0.88,3.83,79,3849,256,6507,228,3.5,314,4.83,9,79,12/10/2017,
3850,3850,22/02/2017,4,90,103,96,102,18,0.79,4.4,0.64,3.54,78,3850,232,6318,201,3.18,284,4.5,8,89,15/08/2017,
3853,3853,06/07/2016,4,82,86,93,103,13,0.81,6.26,0.66,5.11,148,3853,463,8755,355,4.05,495,5.65,16,170,12/09/2017,
3861,3861,25/07/2017,4,95,107,102,108,32,1.4,4.38,1.03,3.21,18,3861,79,2527,82,3.24,112,4.43,3,241,15/08/2017,
3862,3862,07/02/2017,4,89,91,94,91,21,1.02,4.88,0.9,4.3,1937,3862,247,5794,207,3.57,257,4.44,9,1937,12/10/2017,
3866,3866,02/07/2016,4,82,94,91,94,11,0.52,4.7,0.44,3.98,126,3866,467,9940,344,3.46,480,4.83,16,636,18/01/2017,
3869,3869,20/07/2016,4,82,93,100,121,10,0.66,6.62,0.48,4.77,164,3869,449,9319,368,3.95,534,5.73,16,165,18/07/2017,
3872,3972,20/08/2016,4,83,101,96,96,11,0.62,5.63,0.45,4.07,27,3872,418,9016,327,3.63,401,4.45,14,121,18/07/2017,
3876,3876,09/07/2016,5,90,80,84,98,11,0.67,6.12,0.48,4.37,97,3876,460,8392,313,3.73,455,5.42,16,178,18/07/2017,
3886,3886,13/07/2017,5,94,88,89,99,24,1.36,5.65,0.75,3.13,29,3886,91,2214,78,3.52,104,4.7,4,29,12/10/2017,
3888,3888,12/07/2017,5,102,97,96,91,21,1.17,5.56,0.66,3.15,843,3888,92,2892,98,3.39,111,3.84,4,993,18/07/2017,
3894,3894,09/07/2017,5,93,90,93,96,30,1.71,5.71,1.01,3.35,14,3894,95,2399,87,3.63,107,4.46,4,262,18/07/2017,
3896,3896,04/02/2017,4,88,110,104,95,23,1.15,5.01,0.78,3.4,54,3896,250,6944,226,3.25,273,3.93,9,93,15/08/2017,
3897,3897,10/03/2017,5,89,97,92,85,23,0.91,3.97,0.8,3.49,46,3897,216,5222,171,3.27,213,4.08,8,208,14/03/2017,
3898,3898,28/01/2017,4,88,83,82,89,16,0.88,5.49,0.6,3.72,85,3898,257,5329,181,3.4,250,4.69,9,85,12/10/2017,
3903,3903,20/07/2016,4,82,102,103,101,20,0.95,4.77,0.63,3.14,441,3903,449,10308,366,3.55,456,4.42,16,441,12/10/2017,
3914,3914,26/07/2016,4,80,105,101,102,12,0.64,5.32,0.49,4.05,184,3914,443,10100,351,3.48,458,4.53,15,303,07/04/2017,
3918,3918,05/07/2017,5,92,114,114,110,34,1.56,4.59,1.15,3.37,24,3918,99,3344,118,3.53,142,4.25,4,77,18/07/2017,
3925,3925,24/07/2016,4,80,108,105,105,12,0.61,5.09,0.53,4.42,5192,3925,445,10064,359,3.57,444,4.41,15,5192,12/10/2017,
3929,3929,14/02/2016,3,75,103,99,110,12,0.73,6.06,0.55,4.62,100,3929,606,12996,469,3.61,642,4.94,20,142,18/01/2017,
3932,3932,12/07/2016,4,79,77,84,97,11,0.64,5.81,0.5,4.58,84,3932,457,8586,334,3.89,459,5.35,16,219,18/07/2017,
3933,3933,03/07/2017,4,91,107,94,100,28,1.18,4.21,0.82,2.92,200,3933,101,3344,99,2.96,133,3.98,4,218,18/07/2017,
3940,3940,05/03/2017,4,87,82,75,70,23,1.05,4.55,0.72,3.14,97,3940,221,4822,151,3.13,185,3.84,8,2920,16/05/2017,
3942,3942,01/08/2016,4,79,84,81,80,13,0.67,5.13,0.48,3.72,192,3942,437,8478,286,3.37,371,4.38,15,247,16/08/2016,
3946,3946,12/07/2016,4,77,100,104,115,10,0.57,5.67,0.44,4.35,108,3946,457,9646,360,3.73,504,5.22,16,250,15/08/2017,
3947,3947,07/08/2017,5,90,110,100,91,35,1.62,4.62,0.98,2.79,16,3947,66,2207,70,3.17,68,3.08,3,31,15/08/2017,
3953,3953,16/07/2017,4,89,95,89,101,29,1.38,4.76,0.84,2.9,18,3953,88,2560,83,3.24,106,4.14,4,4039,18/07/2017,
3957,3957,12/02/2017,4,84,95,93,104,20,1.19,5.97,0.77,3.85,48,3957,242,5606,189,3.37,274,4.89,9,1415,14/02/2017,
3958,3958,28/01/2017,5,83,99,91,133,23,1.74,7.55,0.82,3.56,62,3958,257,6389,200,3.13,374,5.85,9,87,15/08/2017,
3959,3959,02/07/2016,4,76,100,103,91,10,0.54,5.43,0.51,5.07,407,3959,467,10622,405,3.81,468,4.41,16,4971,14/02/2017,
