Cow#,Short Name,Calved,Lact#,Age (mths),Milk PI,Protein PI,Fat PI,Milk,Fat Kg,Fat %,Protein Kg,Protein %,SCC,Cow#_1,DIM,LTD Milk,LTD Protein Kg,LTD Protein %,LTD Fat Kg,LTD Fat %,Tests,Peak SCC,Peak SCC Date,Influence
4836,4836,10/08/2017,2,53,106,99,85,32,1.24,3.86,0.95,2.96,9,4836,63,2046,67,3.27,69,3.37,3,178,15/08/2017,
4837,4837,02/09/2016,1,41,99,100,82,15,0.89,5.96,0.67,4.49,25,4837,405,8468,302,3.57,340,4.02,14,250,14/02/2017,
4841,4841,12/07/2017,2,,,,,27,1.06,3.91,0.82,3.03,16,4841,92,2866,91,3.18,117,4.08,4,72,18/07/2017,
4843,4843,22/08/2017,2,53,105,104,100,29,1.17,4.05,0.93,3.19,6,4843,51,1911,64,3.35,67,3.51,2,10,12/09/2017,
4844,4844,17/08/2017,2,53,97,99,109,28,1.39,4.98,0.9,3.23,24,4844,56,1814,62,3.42,81,4.47,2,28,12/09/2017,
4845,4845,04/08/2016,1,40,93,89,94,16,0.88,5.53,0.64,3.99,47,4845,434,8692,298,3.43,393,4.52,15,148,15/08/2017,
4846,4846,27/08/2017,2,53,92,90,95,27,1.27,4.7,0.77,2.85,30,4846,46,1335,43,3.22,49,3.67,2,30,12/10/2017,
4847,4847,03/08/2016,1,40,99,88,84,19,0.82,4.34,0.69,3.65,30,4847,435,9434,299,3.17,369,3.91,15,70,09/11/2016,
4848,4848,04/08/2017,2,51,83,83,93,24,1.34,5.57,0.69,2.86,12,4848,69,1685,57,3.38,77,4.57,3,74,15/08/2017,
4849,4849,10/08/2016,1,38,98,96,96,20,1.04,5.2,0.76,3.82,12,4849,428,9168,315,3.44,396,4.32,15,87,07/04/2017,
4850,4850,28/07/2017,2,49,99,95,86,27,1.15,4.25,0.81,3,65,4850,76,2322,75,3.23,78,3.36,3,75,12/09/2017,
4851,4851,21/08/2017,2,50,97,96,88,29,1.13,3.89,0.92,3.17,7,4851,52,1582,50,3.16,46,2.91,2,18,12/09/2017,
4852,4852,01/09/2016,1,38,77,75,68,10,0.5,5.01,0.36,3.62,38,4852,406,7378,245,3.32,306,4.15,14,86,07/04/2017,
4853,4853,11/07/2017,2,48,66,78,81,18,1,5.53,0.68,3.76,86,4853,93,1734,71,4.09,89,5.13,4,395,18/07/2017,
4854,4854,13/08/2016,1,37,89,84,78,12,0.55,4.6,0.46,3.82,32,4854,425,7862,257,3.27,308,3.92,15,488,16/08/2016,
4855,4855,04/08/2016,1,37,91,84,69,12,0.57,4.79,0.47,3.91,253,4855,434,8425,279,3.31,310,3.68,15,627,18/01/2017,
4857,4857,02/08/2016,1,37,94,97,87,16,0.78,4.9,0.72,4.52,92,4857,436,9036,331,3.66,381,4.22,15,94,16/06/2017,
4859,4859,25/08/2017,2,50,105,97,94,34,1.33,3.92,0.95,2.8,31,4859,48,1467,46,3.14,46,3.14,2,36,12/09/2017,
4861,4861,02/08/2016,1,37,108,103,107,18,0.9,4.99,0.68,3.79,31,4861,436,10442,358,3.43,460,4.41,15,113,18/01/2017,
4866,4866,08/08/2017,2,48,82,86,89,23,0.99,4.32,0.73,3.17,14,4866,65,1569,55,3.51,70,4.46,3,273,15/08/2017,
4868,4868,06/08/2016,1,36,89,85,85,12,0.61,5.05,0.5,4.2,25,4868,432,8348,289,3.46,367,4.4,15,228,14/02/2017,
4869,4869,24/07/2017,2,48,91,88,79,26,0.95,3.64,0.73,2.82,12,4869,80,2102,70,3.33,73,3.47,3,18,15/08/2017,
4870,4870,11/08/2017,2,48,96,93,98,26,1.06,4.07,0.75,2.88,8,4870,62,1747,56,3.21,70,4.01,3,69,15/08/2017,
4871,4871,25/08/2017,2,49,101,100,100,30,1.31,4.35,0.93,3.1,198,4871,48,1506,51,3.39,57,3.78,2,198,12/10/2017,
4872,4872,25/07/2017,2,48,90,91,110,27,1.63,6.04,0.88,3.26,15,4872,79,1981,67,3.38,101,5.1,3,635,15/08/2017,
4873,4873,05/08/2016,1,36,85,78,75,15,0.72,4.77,0.57,3.81,85,4873,433,8010,260,3.25,327,4.08,15,92,09/11/2016,
4874,4874,25/08/2017,2,49,87,86,87,26,1.04,4,0.73,2.82,46,4874,48,1215,38,3.13,44,3.62,2,89,12/09/2017,
4875,4875,17/08/2017,2,48,81,85,96,23,1.18,5.13,0.71,3.09,31,4875,56,1329,44,3.31,62,4.67,2,31,12/10/2017,
4878,4878,14/08/2017,2,48,92,86,108,27,1.31,4.87,0.75,2.77,18,4878,59,1578,40,2.53,107,6.78,3,53,12/09/2017,
4879,4879,22/08/2017,2,48,99,94,98,28,1.1,3.94,0.79,2.81,42,4879,51,1644,53,3.22,64,3.89,2,42,12/10/2017,
4880,4880,08/08/2017,2,48,100,96,99,28,1.29,4.6,0.79,2.82,101,4880,65,1971,67,3.4,78,3.96,3,101,12/10/2017,
4881,4881,23/08/2017,2,48,93,95,102,30,1.43,4.76,0.97,3.24,18,4881,50,1255,43,3.43,57,4.54,2,21,12/09/2017,
4882,4882,31/07/2017,2,48,80,85,90,22,1.1,5.02,0.73,3.31,17,4882,73,1693,60,3.54,78,4.61,3,26,15/08/2017,
4883,4883,24/08/2017,2,48,77,86,91,21,1.05,5.02,0.7,3.33,24,4883,49,1131,42,3.71,51,4.51,2,1659,12/09/2017,
4885,4885,21/09/2017,2,49,96,93,111,27,1.71,6.33,0.77,2.87,34,4885,21,567,16,2.82,36,6.35,1,34,12/10/2017,
4886,4886,02/08/2017,2,48,66,73,88,20,1.08,5.41,0.65,3.23,45,4886,71,1370,47,3.43,73,5.33,3,65,15/08/2017,
4887,4887,22/08/2017,2,48,76,81,96,21,1.19,5.65,0.63,3.02,105,4887,51,1107,37,3.34,57,5.15,2,105,12/10/2017,
4888,4888,13/09/2017,2,49,87,94,97,23,1.2,5.22,0.79,3.43,251,4888,29,667,23,3.45,35,5.25,1,251,12/10/2017,
4889,4889,19/10/2016,1,38,81,81,85,10,0.68,6.78,0.44,4.42,85,4889,358,6096,213,3.49,294,4.82,12,121,15/08/2017,
4890,4890,14/08/2017,2,48,90,90,90,25,0.89,3.56,0.73,2.9,49,4890,59,1500,48,3.2,70,4.67,3,74,12/09/2017,
4891,4891,03/08/2017,2,48,64,71,67,21,0.97,4.61,0.68,3.24,12,4891,70,1372,46,3.35,51,3.72,3,40,15/08/2017,
4893,4893,16/09/2017,2,49,95,98,102,27,1.37,5.06,0.88,3.26,212,4893,26,702,23,3.28,36,5.13,1,212,12/10/2017,
4894,4894,15/08/2017,2,48,83,85,87,23,1.04,4.5,0.69,2.98,35,4894,58,1463,48,3.28,51,3.49,2,42,12/09/2017,
4895,4895,18/09/2017,2,49,94,95,95,26,1.11,4.28,0.8,3.08,49,4895,24,624,19,3.04,27,4.33,1,49,12/10/2017,
4896,4896,25/08/2017,2,48,85,87,97,23,1.22,5.32,0.7,3.05,35,4896,48,1269,41,3.23,54,4.26,2,35,12/10/2017,
4897,4897,08/08/2017,2,48,73,77,87,19,1.05,5.55,0.54,2.82,88,4897,65,1401,50,3.57,68,4.85,3,88,12/10/2017,
4898,4898,05/08/2017,2,48,81,91,89,26,1.08,4.14,0.97,3.73,966,4898,68,1489,57,3.83,72,4.84,3,1076,12/09/2017,
4899,4899,24/08/2017,2,48,99,96,101,31,1.32,4.25,0.94,3.03,43,4899,49,1417,45,3.18,58,4.09,2,119,12/09/2017,
